#rank	DIAMOnD_node	p_hyper
177	503627	2.5287561654597173e-30
178	5081	5.273879818887653e-30
179	7403	2.998399015956419e-29
180	8521	1.415593217777216e-30
181	7849	1.406800521968423e-29
182	2623	1.8008079495884014e-29
183	3096	2.676724054528377e-29
184	57479	3.8069698140856095e-29
185	7181	9.405126770602575e-29
186	10716	2.126209637347889e-28
187	9794	8.6997686845274e-29
188	5083	8.171726171445067e-28
189	607	8.353028877796373e-29
190	2118	6.49148663734097e-29
191	22976	5.144419126846193e-29
192	58508	9.576530338495521e-30
193	79447	1.8435745957614653e-30
194	3195	1.7654269134626873e-31
195	23060	6.47169240676367e-30
196	89884	1.6847339207064123e-30
197	83595	2.0996693273308773e-30
198	55636	1.8459953359199924e-30
199	54880	1.2270359838242412e-29
200	5076	1.6687383978309282e-30
